SUPERKINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS	SPECIES	DOMAIN	Organism	STRAIN	SEROVAR	SEQUENCING METHOD	SEQUENCING DEPTH	STRAININFO	Culture	SYMBIONT	TYPE	PHYLOGENY	SEQUENCING STATUS	PROJECT STATUS	PHENOTYPE	RELEVANCE	DISEASE	HABITAT	PH	TEMPERATURE	ISOLATION	COUNTRY	GC(%)	AVAILABILITY	GOLDSTAMP	GOLDSTAMP OLD	GREENGENES ID	GCAT ID	TAXON ID	ENTREZ PID	IMG OID	SIZE(kb)	ORFs	CHROMOSOMES	PLASMIDS	DATA	DATABASES	INSTITUTE	FUNDING	PUBLICATION	DATE	CONTACT NAME	CONTACT EMAIL
Archaea	Euryarchaeota	Thermococcales		Thermococcaceae	Pyrococcus	Pyrococcus furiosus	ARCHAEAL	Pyrococcus furiosus	JCM 8422				158448	ATCC 43587, DSM 3638		Genome	EURYARCHAEOTA-THERMOCOCCI	Complete	complete	Obligate anaerobe, Motile, Sulfur respiration, Radiation resistant, Hyperthermophile, Coccus-shaped, Nonsporulating	Biotechnological	None	Marine	5-9	70 - 103	Shallow marine solfataric region at Vulcano Island Italy	USA	40.8	Public	Gc00078			000532_GCAT	186497	287	638154515	1908	2125	1	0	NC_003413	NCBI, Integr8, TIGR	Univ of Utah, Univ of Maryland	DOE	Meth. Enzymol. 330:134-57	February 12, 2002	Robb FT	robb@umbi.umd.edu
Bacteria	Proteobacteria	Burkholderiales		Burkholderiaceae	Ralstonia	Ralstonia solanacearum	BACTERIAL	Ralstonia solanacearum	GMI1000				692465			Genome	PROTEOBACTERIA-BETA	Complete	complete	Pathogen, Rod-shaped, Aerobe, Motile, Mesophile, Heterotroph	Agricultural, Plant Pathogen	Plant rot, Wilting disease	Soil				France	67	Public	Gc00077			000533_GCAT	267608	13	637000231	3716	3440	1	1	NC_003295	NCBI, Genoscope, GIB, TIGR	Genoscope, INRA, CNRS	INRA, CNRS	Nature 415,497-502	January 31, 2002	Boucher CA	boucher@toulouse.inra.fr
Bacteria	Firmicutes	Clostridiales		Clostridiaceae	Clostridium	Clostridium perfringens	BACTERIAL	Clostridium perfringens	13							Genome	FIRMICUTES	Complete	complete	Pathogen, Anaerobe, Sporulating, Rod-shaped, Sporulating, Nonmotile, Mesophile	Medical, Biothreat, Animal Pathogen, Poultry Pathogen, Swine Pathogen, Human Pathogen	Gas gangrene, Food poisoning, Necrotizing enterocolitis, Enteritis necroticans	Soil, Host		37	Soil isolate	Japan	28.6	Public	Gc00076			000534_GCAT	195102	79	637000079	3031	2660	1	1	NC_003366	NCBI, GIB, TIGR, ClostriDB	Univ of Tsukuba, Kyushu Univ, Kitasato Univ	JSPS	PNAS 99, 996-1001	January 22, 2002	Shimizu T	tshimizu@md.tsubuka.ac.jp
Archaea	Crenarchaeota	Thermoproteales		Thermoproteaceae	Pyrobaculum	Pyrobaculum aerophilum	ARCHAEAL	Pyrobaculum aerophilum	IM2				267735	ATCC 51768, DSM 7523		Genome	CRENARCHAEOTA-THERMOPROTEI	Complete	complete	Hyperthermophile, Motile, Rod-shaped, Facultative, Nitrate reducer, Nonsporulating, Autotroph	Biotechnological	None	Marine	7	74 - 104	Boiling marine water hole in Maronti Beach, Ischia, Italy	USA	51.4	Public	Gc00075			000535_GCAT	178306	172	638154513	2222	2605	1	0	NC_003364	NCBI, Integr8, GIB, TIGR	CalTech, UCLA	ONR, DOE, NIH	PNAS 99,984-989	January 22, 2002	Miller JH	jhmiller@mbi.ucla.edu
Bacteria	Proteobacteria	Rhizobiales		Brucellaceae	Brucella	Brucella melitensis	BACTERIAL	Brucella melitensis	16M	1			129462	ATCC 23456		Genome	PROTEOBACTERIA-ALPHA	Complete	complete	Pathogen, Aerobe, Nonmotile, Facultative intracellular, Rod-shaped, Nonsporulating, Mesophile	Medical, Biothreat, Human Pathogen, Animal Pathogen	Brucellosis	Host		37	Infected goat	USA	57.2	Public	Gc00074			000536_GCAT	224914	180	637000040	3294	3198	2	0	NC_003317, NC_003318, AE008917, AE008918	NCBI, Univ of Scranton, GIB, TIGR	Univ of Scranton, Integrated Genomics Inc	DARPA	PNAS 99,443-448	January 8, 2002	DelVecchio VG	vimbm@aol.com
Bacteria	Proteobacteria	Rhizobiales		Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens	BACTERIAL	Agrobacterium tumefaciens	C58-UWash				267471	ATCC 33970		Genome	PROTEOBACTERIA-ALPHA	Complete	complete	Pathogen, Aerobe, Motile, Nitrogen fixation, Rod-shaped, Mesophile	Agricultural, Plant Pathogen	Plant tumors	Host, Root nodule		25 - 28		USA	59	Public	Gc00073			000537_GCAT	176299	282	639279302	4915	5402	2	2	NC_003304, NC_003305	NCBI, Univ of Washington, GIB, TIGR	Univ of Washington, DuPont, Univ of Campinas	NSF, NIH	Science 294,2317-2323	December 14, 2001	Nester EW	gnester@u.washington.edu
Bacteria	Proteobacteria	Rhizobiales		Rhizobiaceae	Agrobacterium	Agrobacterium tumefaciens	BACTERIAL	Agrobacterium tumefaciens	C58-Cereon	1			267471	ATCC 33970		Genome	PROTEOBACTERIA-ALPHA	Complete	complete	Pathogen, Aerobe, Motile, Nitrogen fixation, Rod-shaped, Mesophile	Agricultural, Plant Pathogen	Plant tumors	Host, Root nodule		25 - 28	Cherry tree tumor	USA	59	Public	Gc00072			000538_GCAT	176299	283	639279301	4915	4548	2	2	NC_003062, NC_003063, AE007869	NCBI, GIB, TIGR	Cereon Genomics, Univ of Richmond, Monsanto	Cereon Genomics, NSF, NIH	Science 294,2323-2328	December 14, 2001	Slater S	steven.c.slater@cereon.com
Eukaryota	Microsporidia	unclassified		Unikaryonidae	Encephalitozoon	Encephalitozoon cuniculi	EUKARYAL	Encephalitozoon cuniculi	GB-M1		ABI					Genome	FUNGI-MICROSPORIDIA	Quality Draft	complete	Intracellular parasite, Mesophile	Medical, Human Pathogen						France	48	Public	Gc00071			000539_GCAT	284813	13833	638208606	2900	1996	11	0	NC_003229-42	NCBI, Genoscope	Genoscope, Univ Blaise Pascal	CNRS	Nature 414, 450-453	November 22, 2001	Vivares C	christian.vivares@univ-bpclermont.fr
Bacteria	Cyanobacteria	Nostocales		Nostocaceae	Nostoc	Nostoc sp. PCC 7120	BACTERIAL	Nostoc (Anabaena) sp.	PCC 7120				106103	PCC 7120		Genome	CYANOBACTERIA	Complete	complete	Nitrogen fixation, Filament-shaped, Motile, Aerobe, Mesophile	Biotechnological	None	Soil				International	41.3	Public	Gc00070			000540_GCAT	103690	244	637000199	6413	5366	1	6	NC_003272	NCBI, Kazusa, GIB, TIGR, CyanoList	Kazusa DNA Research Institute, Michigan State Univ	KDRI, DOE	DNA Res. 8,205-213	October 31, 2001	Kaneko, T	kaneko@kazusa.or.jp
Bacteria	Firmicutes	Bacillales		Listeriaceae	Listeria	Listeria monocytogenes	BACTERIAL	Listeria monocytogenes	EGD-e	1/2a						Genome	FIRMICUTES	Complete	complete	Pathogen, Facultative, Motile, Chemoorganotroph, Rod-shaped, Mesophile	Medical, Animal Pathogen, Cattle Pathogen, Swine Pathogen, Poultry Pathogen	Listeriosis, Food poisoning	Soil, Aquatic, Intestinal microflora, Food		30 - 37	EGD derivative	European Consortium	38	Public	Gc00069			000541_GCAT	169963	276	637000153	2944	2846	1	0	NC_003210, AL591824	NCBI, Institut Pasteur, GIB, TIGR, ListiList	EC Concortium	European Union	Science 294,849-852	October 26, 2001	Cossart P	pcossart@pasteur.fr
Bacteria	Firmicutes	Bacillales		Listeriaceae	Listeria	Listeria innocua	BACTERIAL	Listeria innocua	Clip11262, rhamnose-negative	6a			494327			Genome	FIRMICUTES	Complete	complete	Non-Pathogen, Rod-shaped, Motile, Facultative, Mesophile	Medical	None	Soil		30 - 37		European Consortium	37.4	Public	Gc00068			000542_GCAT	272626	86	637000152	3011	2968	1	1	NC_003212, AL592022	NCBI, ListiList, GIB, KEGG, TIGR	EC Concortium	Institut Pasteur, European Union	Science 294,849-852	October 26, 2001	Cossart P	pcossart@pasteur.fr
Bacteria	Proteobacteria	Enterobacteriales		Enterobacteriaceae	Salmonella	Salmonella typhimurium	BACTERIAL	Salmonella enterica Typhimurium LT2	SGSC1412 / LT2	Typhimurium LT2			118393	ATCC 700720		Genome	PROTEOBACTERIA-GAMMA	Complete	complete	Pathogen, Facultative, Motile, Chemoorganotroph, Rod-shaped, Mesophile	Medical, Human Pathogen	Gastroenteritis, Food poisoning, Salmonellosis	Host, Food, Soil, Aquatic		37	1940s by Lilleengen	USA	52.2	Public	Gc00067			000543_GCAT	99287	241	637000255	4857	4425	1	1	NC_003197	NCBI, GIB, TIGR	Washington Univ	NIH	Nature 413,852-856	October 25, 2001	McClelland M	mmcclelland@skcc.org
Bacteria	Proteobacteria	Enterobacteriales		Enterobacteriaceae	Salmonella	Salmonella enterica	BACTERIAL	Salmonella enterica sv Typhi	CT18							Genome	PROTEOBACTERIA-GAMMA	Complete	complete	Pathogen, Facultative, Motile, Rod-shaped, Mesophile	Medical, Human Pathogen strictly, Biothreat	Typhoid fever, Salmonellosis, Food poisoning	Host, Food, Soil, Aquatic		37		United Kingdom	52.1	Public	Gc00066			000544_GCAT	220341	236	637000254	4809	4395	1	2	NC_003198	NCBI, Sanger Institute, GIB, TIGR	Sanger Institute, Imperial College	Beowulf Genomics	Nature 413,848-852	October 25, 2001	Parkhill J	http://www.sanger.ac.uk/Users/parkhill/
Bacteria	Firmicutes	Lactobacillales		Streptococcaceae	Streptococcus	Streptococcus pneumoniae	BACTERIAL	Streptococcus pneumoniae	R6				269575	ATCC BAA-255		Genome	FIRMICUTES	Complete	complete	Pathogen, Nonmotile, Nonsporulating, Facultative, Mesophile	Medical, Human Pathogen	Pneumonia	Host, Nasopharyngeal microflora		30 - 35		USA	39.7	Public	Gc00065			000545_GCAT	171101	278	637000289	2038	2043	1	0	NC_003098	NCBI, Eli Lilly, GIB, TIGR, StreptoPneumoList	Eli Lilly	Eli Lilly	J Bacteriol. 183,5709-5717	October 10, 2001	Glass JI	glass_john_i@lilly.com
Bacteria	Proteobacteria	Enterobacteriales		Enterobacteriaceae	Yersinia	Yersinia pestis	BACTERIAL	Yersinia pestis Orientalis	CO-92	Orientalis						Genome	PROTEOBACTERIA-GAMMA	Complete	complete	Pathogen, Facultative, Rod-shaped, Motile, Mesophile	Medical, Human Pathogen, Biothreat, Animal Pathogen	Bubonic plague	Host		28 - 30	Patientin the USA who died of pneumonic plague after acquiring the disease from an infected cat	United Kingdom	47.6	Public	Gc00064			000546_GCAT	214092	34	637000351	4653	3885	1	3	NC_003143	NCBI, Sanger Institute, IBM-Annotation, GIB, KEGG, TIGR	Sanger Institute, MDS, Imperial College, DSTL	Beowulf Genomics	Nature 413,523-527	October 4, 2001	Parkhill J	http://www.sanger.ac.uk/Users/parkhill/
Bacteria	Actinobacteria	Actinomycetales		Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis	BACTERIAL	Mycobacterium tuberculosis	CDC1551 (Oshkosh)							Genome	ACTINOBACTERIA	Complete	complete	Pathogen, Aerobe, Chemoorganotroph, Rod-shaped, Nonmotile, Nonsporulating, Mesophile	Medical, Human Pathogen, Animal Pathogen	Tuberculosis	Host		37	Clothing factory worker from the Kentucky/Tennessee	USA	65.6	Public	Gc00063			000547_GCAT	83331	223	637000172	4403	4189	1	0	NC_002755, AE000516	NCBI, TIGR, GIB	TIGR	NIH	J Bacteriol 184, 5479-90	October 2, 2001	Fleischmann RD	rdfleisc@tigr.org
Bacteria	Proteobacteria	Rickettsiales		Rickettsiaceae	Rickettsia	Rickettsia conorii	BACTERIAL	Rickettsia conorii	Malish 7				621673			Genome	PROTEOBACTERIA-ALPHA	Complete	complete	Pathogen, Aerobe, Nonmotile, Nonsporulating, Obligate parasite, Mesophile	Medical, Human Pathogen	Rocky Mountain Spotted Fever	Host			Human in South Africa	France	32.4	Public	Gc00062			000548_GCAT	272944	42	637000243	1268	1374	1	0	NC_003103	NCBI, Genoscope, GIB, TIGR	Genoscope	Aventis	Science 293,2093-2098	September 14, 2001	Raoult D	Didier.Raoult@medecine.univ-mrs.fr
Archaea	Crenarchaeota	Sulfolobales		Sulfolobaceae	Sulfolobus	Sulfolobus tokodaii	ARCHAEAL	Sulfolobus tokodaii	7, JCM 10545				304006			Genome	CRENARCHAEOTA-THERMOPROTEI	Complete	complete	Acidophile, Aerobe, Hyperthermophile, Nonmotile, Sulfur metabolizing, Lithotroph	Biotechnological, Wastewater treatment	None	Aquatic, Hot spring	2.5-3	80	Beppu Hot Springs in the geothermal area of Kyushu Island Japan	Japan	32.8	Public	Gc00061			000549_GCAT	273063	246	638154519	2694	2825	1	0	NC_003106	NCBI, Integr8, NITE, GIB, TIGR	NITE	NITE	DNA Res. 8,123-40	August 31, 2001	Kawarabayasi Y	mailto:kawarabayasi.yutaka@aist.go.jp
Bacteria	Firmicutes	Clostridiales		Clostridiaceae	Clostridium	Clostridium acetobutylicum	BACTERIAL	Clostridium acetobutylicum	ATCC 824D				7818	ATCC 824D, DSM 792		Genome	FIRMICUTES	Complete	complete	Obligate anaerobe, Sporulating, Motile, Chemoorganotroph, Rod-shaped, Mesophile	Biotechnological, Acetone production, Butanol production, Ethanol production	None	Soil		10 - 65	Garden soil in Connecticut in USA in 1924	USA	30.9	Public	Gc00060			000550_GCAT	272562	77	637000076	3940	3672	1	1	NC_003030, AE001437	NCBI, GIB, TIGR	Genome Therapeutics	DOE	J.Bacteriol. 183,4823-4838	August 10, 2001	Smith DR	doug.smith@genomecorp.com
Bacteria	Proteobacteria	Rhizobiales		Rhizobiaceae	Sinorhizobium	Sinorhizobium meliloti	BACTERIAL	Sinorhizobium meliloti	1021				115196		Legumes	Genome	PROTEOBACTERIA-ALPHA	Complete	complete	Nitrogen fixation, Aerobe, Motile, Stores polyhydroxybutyrate, Symbiont, Rod-shaped, Streptomycin resistant, Mesophile	Biotechnological	None	Soil		25 - 30	Streptomycin resistant derivative of strain 2011	International	62.7	Public	Gc00059			000551_GCAT	266834	19	637000269	3654	3341	1	2	NC_003047, BA000012	NCBI, Stanford Univ, IBM-Annotation, GIB, TIGR	European Union, Stanford Univ	European & Canadian Consortium	Science 293,668-672	July 27, 2001	Long SR	Sharon.Long@Stanford.edu
Bacteria	Firmicutes	Lactobacillales		Streptococcaceae	Streptococcus	Streptococcus pneumoniae	BACTERIAL	Streptococcus pneumoniae	TIGR4	4			352345	ATCC-BAA-334		Genome	FIRMICUTES	Complete	complete	Facultative, Pathogen, Nonmotile, Nonsporulating, Coccus-shaped, Alpha-hemolytic, Mesophile	Medical, Human Pathogen	Pneumonia, Meningitis, Otitis media	Host, Nasopharyngeal microflora		30 - 35	Blood of a 30 year old male patient in Kongsvinger Norway	USA	39.7	Public	Gc00058			000552_GCAT	170187	277	637000290	2160	2105	1	0	NC_003028	NCBI, TIGR, GIB, StreptoPneumoList	TIGR	NIH-NIAID, MGRI	Science 293,498-506	July 20, 2001	Fraser CM	http://www.tigr.org/~cmfraser/
Archaea	Crenarchaeota	Sulfolobales		Sulfolobaceae	Sulfolobus	Sulfolobus solfataricus	ARCHAEAL	Sulfolobus solfataricus	P2				267483	ATCC 35092, DSM 1617		Genome	CRENARCHAEOTA-THERMOPROTEI	Complete	complete	Motile, Obligate aerobe, Hyperthermophile, Acidophile, Sulfur metabolizing, Coccus-shaped, Lithotroph	Biotechnological	None	Aquatic	2-4.5	50 - 87		International	35.8	Public	Gc00057			000553_GCAT	273057	108	638154518	2992	2977	1	0	NC_002754	NCBI, LBMGE, France, IBM-Annotation, GIB, TIGR	European Union, Canadian Bioinformatics Resource	European Union, Canadian Genome Analysis and Technology, National Research Council of Canada	PNAS 98,7835-7840	July 3, 2001	Garrett RA	garrett@mermaid.molbio.ku.dk
Bacteria	Proteobacteria	Caulobacterales		Caulobacteraceae	Caulobacter	Caulobacter vibrioides	BACTERIAL	Caulobacter crescentus	CB15				123019	ATCC 19089		Genome	PROTEOBACTERIA-ALPHA	Complete	complete	Obligate aerobe, Motile, Rod-shaped, Mesophile	Biotechnological, Bioremediation, Biogeochemical, Wastewater treatment, Environmental	None	Aquatic, Soil, Marine		35		USA	67.2	Public	Gc00056			000554_GCAT	190650	298	637000061	4016	3737	1	0	NC_002696, AE005673	NCBI, TIGR, GIB	TIGR	DOE	PNAS 98,4136-4141	May 22, 2001	Nierman WC	wnierman@tigr.org
Bacteria	Firmicutes	Mycoplasmatales		Mycoplasmataceae	Mycoplasma	Mycoplasma pulmonis	BACTERIAL	Mycoplasma pulmonis	UAB CTIP							Genome	FIRMICUTES	Complete	complete	Pathogen, Motile, Facultative, Sphere-shaped, Mesophile	Medical, Animal Pathogen	Respiratory infection, Genital infection	Host		37	Laboratory strain	France	26.6	Public	Gc00055			000555_GCAT	272635	100	637000184	963	782	1	0	NC_002771	NCBI, Genoscope, MypuList, GIB, TIGR, Molligen	Genoscope	Institut Pasteur, Genoscope, INRA	NAR 29, 2145-2153	May 15, 2001	Blanchard A	ablancha@bordeaux.inra.fr
Bacteria	Firmicutes	Lactobacillales		Streptococcaceae	Lactococcus	Lactococcus lactis	BACTERIAL	Lactococcus lactis lactis	IL1403							Genome	FIRMICUTES	Complete	complete	Facultative, Nonmotile, Mesophile	Biotechnological, Food industry, Cheese production	None	Host		40	Cheese starter culture	France	35.3	Public	Gc00054			000556_GCAT	272623	72	637000144	2365	2321	1	0	NC_002662, AE005176	NCBI, INRA, IBM-Annotation, GIB, TIGR	Genoscope, INRA	INRA	Genome Research 11, 731-753	May 10, 2001	Sorokin A	sorokine@diamant.jouy.inra.fr
Archaea	Euryarchaeota	Thermococcales		Thermococcaceae	Pyrococcus	Pyrococcus abyssi	ARCHAEAL	Pyrococcus abyssi	GE5							Genome	EURYARCHAEOTA-THERMOCOCCI	Complete	complete	Obligate anaerobe, Motile, Sulfur respiration, Nonsporulating, Hyperthermophile, Barophile, Coccus-shaped	Biotechnological	None	Marine, Deep sea		67 - 103	Active chimney in the North Fiji Basin of the Pacific Ocean at a depth of 3500m	France	44.7	Public	Gc00053			000557_GCAT	272844	179	638154514	1765	1896	1	1	NC_000868	NCBI, Integr8, LBMGE, France, Genoscope, GIB, TIGR, IBM-Annotation	Genoscope, IGBMC	CNRS, INSERM	Genome Res 11, 981-93	May 8, 2001	Poch O	poch@igbmc.u-strasbg.fr
Eukaryota	unclassified	unclassified		Cryptomonadaceae	Guillardia	Guillardia theta	EUKARYAL	Guillardia theta								Genome	PROTISTS-CRYPTOPHYTA	Complete	complete	Mesophile	Model organism						International	26	Public	Gc00052			000558_GCAT	55529	210	638269501	551	464	3	0	NCBI	NCBI, IMB	Canadian Institute of Advanced Research, Philipps-Univ Marburg, Univ of British Columbia	NSERC, DFG, NERC	Nature 410, 1091-1096	April 26, 2001	Cavalier-Smith T	cavalier-smith@zoo.ox.ac.uk
Bacteria	Firmicutes	Bacillales		Staphylococcaceae	Staphylococcus	Staphylococcus aureus	BACTERIAL	Staphylococcus aureus aureus	Mu50 (VRSA)				118360	ATCC 700699		Genome	FIRMICUTES	Complete	complete	Pathogen, Facultative, Coccus-shaped, Nonsporulating, Nonmotile, Mesophile	Medical, Human Pathogen, Animal Pathogen, Cattle Pathogen, Poultry Pathogen	Nosocomial infection, Pneumonia, Deep abscesses, Osteomyelitis, Endocarditis, Phlebitis, Mastitis, Meningitis	Host		30 - 37	Pus of a Japanese male baby with a surgical wound infection that did not respond to vancomycin in 1997	Japan	32.9	Public	Gc00051			000559_GCAT	158878	263	637000277	2878	2697	1	1	NC_002758	NCBI, Kyushu Univ, GIB, TIGR, AureoList	NITE, Juntendo Univ, Univ of Tsukuba, ONRI, Univ of Tokyo, Kyushu Univ, Kyoto Univ, Kitasato Univ, RIKEN	NITE, JSPS	The Lancet 357, 1225-1240	April 21, 2001	Hiramatsu K	hiram@med.juntendo.ac.jp
Bacteria	Firmicutes	Bacillales		Staphylococcaceae	Staphylococcus	Staphylococcus aureus	BACTERIAL	Staphylococcus aureus aureus	N315 (MRSA)							Genome	FIRMICUTES	Complete	complete	Pathogen, Facultative, Coccus-shaped, Nonsporulating, Nonmotile, Mesophile	Medical, Human Pathogen, Animal Pathogen, Cattle Pathogen, Poultry Pathogen	Nosocomial infection, Pneumonia, Deep abscesses, Osteomyelitis, Endocarditis, Phlebitis, Mastitis, Meningitis	Host		30 - 37	Pharyngeal smear of a Japanese patient in 1982	Japan	32.8	Public	Gc00050			000560_GCAT	158879	264	637000278	2813	2588	1	1	NC_002745	NCBI, NITE, GIB, TIGR, AureoList	NITE, Juntendo Univ, Univ of Tsukuba, ONRI, Univ of Tokyo, Kyushu Univ, Kyoto Univ, Kitasato Univ, RIKEN	NITE	The Lancet 357,1225-1240	April 21, 2001	Hiramatsu K	hiram@med.juntendo.ac.jp
Bacteria	Firmicutes	Lactobacillales		Streptococcaceae	Streptococcus	Streptococcus pyogenes	BACTERIAL	Streptococcus pyogenes	M1 GAS SF370	M1			117801	ATCC 700294		Genome	FIRMICUTES	Complete	complete	Pathogen, Facultative, Nonmotile, Nonsporulating, Coccus-shaped, Mesophile	Medical, Human Pathogen strictly	Rheumatic fever, Pharyngitis, Tonsillitis, Sinusitis, Otitis, Mastoiditis, Pneumonia	Host, Nasopharyngeal microflora		30 - 35	Patient with a wound infection	USA	38.5	Public	Gc00049			000561_GCAT	160490	269	637000291	1852	1697	1	0	NC_002737	NCBI, Univ of Oklahoma, GIB, Microgen	Univ of Oklahoma	NIH-NIAID	PNAS 98,4658-4663	April 10, 2001	Ferretti JJ	Joe-Ferretti@ouhsc.edu
Bacteria	Proteobacteria	Pasteurellales		Pasteurellaceae	Pasteurella	Pasteurella multocida	BACTERIAL	Pasteurella multocida	Pm70 type A	3						Genome	PROTEOBACTERIA-GAMMA	Complete	complete	Facultative, Nonmotile, Pathogen, Rod-shaped, Mesophile	Medical, Animal Pathogen, Swine Pathogen, Cattle Pathogen, Poultry Pathogen, Human Pathogen, Agricultural	Pasteurellosis, Cholera, Septicemia	Host		37	Case of cholera in chickens in 1995	USA	40.4	Public	Gc00048			000562_GCAT	272843	39	637000203	2257	2015	1	0	NC_002663	NCBI, GIB, TIGR	Univ of Minnesota	USDA/NRI, MAES	PNAS 98, 3460-3465	March 13, 2001	Kapur V	http://www.cvm.umn.edu/departments/vpb/faculty/kapur.htm
Bacteria	Actinobacteria	Actinomycetales		Corynebacteriaceae	Corynebacterium	Corynebacterium glutamicum	BACTERIAL	Corynebacterium glutamicum	Nakagawa				681595	ATCC 13032, DSM 20300		Genome	ACTINOBACTERIA	Complete	complete	Rod-shaped, Nonmotile, Facultative, Nonsporulating, Fast growing, Mesophile	Biotechnological, Amino acids production, Food industry, Glutamate production	None	Normal microflora, Soil		30 - 40		Japan	53.8	Public	Gc00047			000563_GCAT	196627	307	639279307	3309	2993	1	0	NC_003450	NCBI, TIGR	Kyowa Hakko Co, Kitasato Univ	Kyowa Hakko Co	Appl Microbiol Biotechnol 62, 99-109	March 12, 2001	Ikeda M	m.ikeda@kyowa.co.jp
Bacteria	Proteobacteria	Enterobacteriales		Enterobacteriaceae	Escherichia	Escherichia coli	BACTERIAL	Escherichia coli O157:H7	Sakai (EHEC)	O157:H7						Genome	PROTEOBACTERIA-GAMMA	Complete	complete	Pathogen, Facultative, Motile, Rod-shaped, Enterohemorrhagic, Nonsporulating, Mesophile	Medical, Biothreat, Animal Pathogen, Human Pathogen	Hemorrhagic colitis, Food poisoning, Enterohaemorrhagic	Host, Human intestinal microflora		37	Outbreak in 1982 in Sakai Japan	Japan	50.5	Public	Gc00046			000564_GCAT	386585	226	637000108	5598	5253	1	1	NC_002695	NCBI, GIRC, GIB, TIGR	Japanese Consortium, RIKEN	JSPS	DNA Research 8, 11-22	February 27, 2001	Hayashi T	thayash@fc.miyazaki-med.ac.jp
Bacteria	Actinobacteria	Actinomycetales		Mycobacteriaceae	Mycobacterium	Mycobacterium leprae	BACTERIAL	Mycobacterium leprae	TN							Genome	ACTINOBACTERIA	Complete	complete	Pathogen, Aerobe, Chemoorganotroph, Rod-shaped, Nonmotile, Nonsporulating, Mesophile	Medical, Human Pathogen	Leprosy, Hanson's disease	Host		37	Armadillo in Tamil Nadu India	European Consortium	57.8	Public	Gc00045			000565_GCAT	272631	90	637000170	3268	1605	1	0	NC_002677, AL450380	NCBI, Sanger Institute, Leproma, PEDANT, GIB, TIGR	Sanger Institute, Institut Pasteur	Amici di Raoul Follereau, The New York Community Trust	Nature 409, 1007-1011	February 22, 2001	Cole ST	stcole@pasteur.fr
Eukaryota	Chordata	Primates		Hominidae	Homo	Homo sapiens	EUKARYAL	Homo sapiens								Genome	CHORDATA-PRIMATES	Quality Draft	complete	Mesophile, Aerobe							International		Public	Gc00044			000566_GCAT	9606	9558	639332100	3200000	26966	24	0	24 Chromosomes	NCBI, ORNL, Ensembl, Sanger Institute, HOWDY, IBM-Annotation, TIGR	International Collaboration	Wellcome Trust	Nature 409,860-921	February 15, 2001	Lander ES	lander@genome.wi.mit.edu
Bacteria	Proteobacteria	Enterobacteriales		Enterobacteriaceae	Escherichia	Escherichia coli	BACTERIAL	Escherichia coli O157:H7	EDL933, EHEC				118705	ATCC 700927		Genome	PROTEOBACTERIA-GAMMA	Complete	complete	Pathogen, Facultative, Motile, Rod-shaped, Nonsporulating, Mesophile	Medical, Biothreat, Human Pathogen	Hemorrhagic colitis, Enterohaemorrhagic, Hamburger disease	Host, Human intestinal microflora		25 - 35	Outbreak in 1982	USA	50.4	Public	Gc00043			000567_GCAT	155864	259	637000107	5528	5324	1	2	NC_002655, AE005174	NCBI, GIB, TIGR	Univ of Wisconsin	NIH-NHGRI, NIH-NIAID	Nature 409,529-533	January 25, 2001	Perna NT	perna@ahabs.wisc.edu
Archaea	Euryarchaeota	Thermoplasmatales		Thermoplasmataceae	Thermoplasma	Thermoplasma volcanium	ARCHAEAL	Thermoplasma volcanium	GSS1				304114			Genome	EURYARCHAEOTA-THERMOPLASMATA	Complete	complete	Thermophile, Rod-shaped, Motile, Facultative, Acidophile, Nonsporulating	Biotechnological	None	Marine, Hydrothermal vent, Solfataric field	1-4	33 - 67	Acidic hydrothermal vents on the shore of Aeolian Island of Vulcano Italy	Japan	39.9	Public	Gc00042			000568_GCAT	273116	206	638154522	1584	1499	1	0	NC_002689	NCBI, Integr8, AIST, GIB, TIGR	AIST	JST	PNAS 97, 14257-14262	December 19, 2000	Suzuki M	sbcsuzuk@nibh.go.jp
Eukaryota	Streptophyta	Brassicales		Brassicaceae	Arabidopsis	Arabidopsis thaliana	EUKARYAL	Arabidopsis thaliana	Columbia							Genome	PLANTS-STREPTOPHYTA	Quality Draft	complete	Mesophile, Aerobe	Model organism, Agricultural						International		Public	Gc00041			000569_GCAT	3702	13190	639560100	115428	25498	5	0	5 chromosomes	NCBI, KAOS, Univ of Minnesota, CSHL, TIGR, GIB, Integr8	International Collaboration	NSF, USDA, DOE, KDRI, European Union	Nature 408,796-815	December 14, 2000	TIGR	genomeanalysis@tigr.org
Bacteria	Proteobacteria	Rhizobiales		Phyllobacteriaceae	Mesorhizobium	Mesorhizobium loti	BACTERIAL	Mesorhizobium loti	MAFF303099				373790		Lotus	Genome	PROTEOBACTERIA-ALPHA	Complete	complete	Nitrogen fixation, Symbiont, Rod-shaped, Aerobe, Mesophile	Environmental, Bioremediation	None	Host				Japan	62.7	Public	Gc00040			000570_GCAT	266835	18	637000159	7036	6743	1	2	NC_002678, NC_002679, NC_002682	NCBI, Kazusa, GIB, TIGR	Kazusa DNA Research Institute	KDRI	DNA Research 7, 331-338	December 10, 2000	Tabata S	tabata@kazusa.or.jp
